"","region","site","canopy","canopycont","elev","lat","long","rep","species","full_species","family","MAT","MAP","temprange_pos","pptrange_pos","plot_seeded","new18","new19","new20","new_all"
"1","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","ABIGRA","Abies grandis","abies",2.7,1391,-2.14226289517471,0.217860183520954,"w",0,0,0,0
"2","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","PICSIT","Picea sitchensis","picea",2.7,1391,-1.73863636363636,-0.417712441735389,"w",0,0,0,0
"3","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","PINPON","Pinus ponderosa","pinus",2.7,1391,-1.3637236084453,0.105322243200491,"w",0,0,0,0
"4","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","MAHNER","Mahonia nervosa","berberidaceae",2.7,1391,-1.87379972565158,-0.539464485458613,"w",0,0,0,0
"5","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","RUBURS","Rubus ursinus","rosaceae",2.7,1391,-2.25375081539465,-0.461759191950109,"w",0,0,0,0
"6","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","SAMCER","Sambucus caerulea","adoxaceae",2.7,1391,-1.55421686746988,0.1986903804001,"w",0,0,0,0
"7","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","SORSIT","Sorbus sitchensis","rosaceae",2.7,1391,-0.415513833992094,-0.63487481134631,"w",0,0,0,0
"8","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","VACPAR","Vaccinium parvifolium","ericaceae",2.7,1391,-1.86829960951367,-0.626519879176314,"w",0,0,0,0
"9","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","ERILAN","Eriophyllum lanatum","asteraceae",2.7,1391,-0.968503937007874,-0.165794563778886,"w",0,0,0,0
"10","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","MAIDIL","Maianthemum dilatatum","asparagaceae",2.7,1391,-1.27889447236181,-0.521414691711844,"w",0,0,0,0
"11","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","TOLMEN","Tolmiea menziesii","saxifragaceae",2.7,1391,-1.93098384728341,-0.748087066339796,"w",0,0,0,0
"12","RP","RP-1B-5","closed",9.4,1522,48.519443,-120.73221,"RP-1B-5-a","CARSTI","Carex stipata","cyperaceae",2.7,1391,-1.45697643632513,0.202483647739122,"w",0,0,0,0
"13","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","ABIGRA","Abies grandis","abies",2.7,1391,-2.14226289517471,0.217860183520954,"w",0,0,0,0
"14","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","PICSIT","Picea sitchensis","picea",2.7,1391,-1.73863636363636,-0.417712441735389,"w",0,0,0,0
"15","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","PINPON","Pinus ponderosa","pinus",2.7,1391,-1.3637236084453,0.105322243200491,"w",0,0,0,0
"16","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","MAHNER","Mahonia nervosa","berberidaceae",2.7,1391,-1.87379972565158,-0.539464485458613,"w",0,0,0,0
"17","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","RUBURS","Rubus ursinus","rosaceae",2.7,1391,-2.25375081539465,-0.461759191950109,"w",0,0,0,0
"18","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","SAMCER","Sambucus caerulea","adoxaceae",2.7,1391,-1.55421686746988,0.1986903804001,"w",0,0,0,0
"19","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","SORSIT","Sorbus sitchensis","rosaceae",2.7,1391,-0.415513833992094,-0.63487481134631,"w",0,0,0,0
"20","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","VACPAR","Vaccinium parvifolium","ericaceae",2.7,1391,-1.86829960951367,-0.626519879176314,"w",0,0,0,0
"21","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","ERILAN","Eriophyllum lanatum","asteraceae",2.7,1391,-0.968503937007874,-0.165794563778886,"w",0,0,0,0
"22","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","MAIDIL","Maianthemum dilatatum","asparagaceae",2.7,1391,-1.27889447236181,-0.521414691711844,"w",0,0,0,0
"23","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","TOLMEN","Tolmiea menziesii","saxifragaceae",2.7,1391,-1.93098384728341,-0.748087066339796,"w",0,0,0,0
"24","RP","RP-1B-5","closed",7.63333333333333,1522,48.519443,-120.73221,"RP-1B-5-b","CARSTI","Carex stipata","cyperaceae",2.7,1391,-1.45697643632513,0.202483647739122,"w",0,0,0,0
"25","RP","RP-1B-5","closed",8.73333333333333,1522,48.519443,-120.73221,"RP-1B-5-c","ABIGRA","Abies grandis","abies",2.7,1391,-2.14226289517471,0.217860183520954,"w",0,0,0,0
