site,lat,long,elev,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
RP-12-5,48.505611,-120.743289,1823,2.1,11.7,-6.2,17.9,1457,272,8.3,43.1,857,671,5800,5,140,169,263,94,887,-33.8,30.2,13.3,457,140,69,114.72,167
RP-12-6,48.505659,-120.743486,1826,2.1,11.7,-6.2,17.9,1457,272,8.3,43,857,669,5803,5,140,169,263,94,888,-33.8,30.2,13.3,456,140,69,114.83,166
RP-13-5,48.50423,-120.745762,1898,1.9,11.4,-6.2,17.6,1471,277,8.1,41.3,869,638,5857,5,139,169,263,94,908,-33.8,29.8,13.2,444,131,70,117.51,151
RP-13-6,48.504014,-120.745616,1891,1.9,11.5,-6.2,17.6,1470,277,8.1,41.5,868,641,5852,5,139,169,263,94,906,-33.8,29.8,13.2,445,132,70,117.29,152
RP-14-5,48.501998,-120.753197,2018,1.7,11,-6.2,17.2,1515,286,7.7,38.6,888,587,5947,3,138,168,262,94,955,-33.9,29.2,13.3,383,115,70,123.83,127
RP-14-6,48.501869,-120.753236,2026,1.7,11,-6.2,17.2,1517,287,7.7,38.4,890,584,5953,3,138,168,262,94,957,-33.9,29.1,13.3,382,114,71,124.15,125
RP-15-1,48.527485,-120.649698,1699,2.2,12.1,-6.4,18.5,1454,268,8.4,45.2,864,718,5750,6,139,171,262,91,885,-34,30.9,10.9,480,157,68,112.21,193
RP-15-2,48.527409,-120.649693,1698,2.2,12.1,-6.4,18.5,1453,268,8.4,45.2,864,719,5750,6,139,171,262,91,884,-34,30.9,10.9,480,157,68,112.14,193
RP-1B-5,48.519443,-120.73221,1510,2.7,12.7,-6.2,18.9,1391,252,9.1,50.4,817,809,5578,8,142,171,263,92,804,-33.7,31.9,13.2,513,186,66,102,243
RP-1B-6,48.519247,-120.732445,1504,2.7,12.7,-6.2,18.9,1389,252,9.1,50.6,816,812,5573,8,142,171,263,92,802,-33.7,31.9,13.2,514,187,66,101.77,244
RP-2-5,48.593908,-120.370935,822,6.6,18.3,-5.2,23.5,529,107,31.3,171,564,1745,4268,113,186,143,271,128,209,-32.6,39.1,13.6,755,550,59,-15.57,859
RP-2-6,48.594162,-120.370485,830,6.5,18.3,-5.2,23.5,532,108,31.1,169.9,564,1739,4274,111,186,143,271,128,210,-32.6,39,13.6,753,547,59,-15.1,855
RP-3-1,48.588093,-120.479231,798,6.1,17.5,-5,22.5,555,105,29,165.9,554,1583,4397,76,184,147,272,125,219,-32,37.8,11.3,714,511,61,-6.12,743
RP-3-2,48.58826,-120.47924,810,6.1,17.4,-5,22.5,559,106,28.7,164.3,555,1575,4405,75,184,147,272,125,221,-32,37.7,11.3,712,505,61,-5.31,738
RP-4-5,48.607268,-120.384118,1024,6,17.5,-5.2,22.6,585,119,27.3,146.4,578,1573,4440,75,185,145,273,128,235,-32.2,37.7,14,704,483,62,-3.03,738
RP-4-6,48.60741,-120.383899,1025,6,17.5,-5.2,22.6,585,119,27.3,146.4,578,1573,4440,75,185,145,273,128,235,-32.2,37.7,14,703,483,62,-3,738
RP-5-5,48.613741,-120.408238,1108,5.6,17,-5.3,22.3,606,120,25.8,141,594,1481,4544,60,179,149,272,122,252,-32.6,37.2,14.6,690,467,61,1.15,675
RP-5-6,48.613954,-120.408623,1113,5.6,16.9,-5.3,22.2,607,121,25.7,140.4,595,1477,4549,60,179,149,272,122,253,-32.6,37.2,14.6,689,466,61,1.42,672
RP-6-5,48.616218,-120.40242,1234,5.4,16.6,-5.3,21.8,651,133,23.6,124.7,605,1406,4637,50,180,148,272,124,274,-32.5,36.4,14.8,661,425,63,9.47,622
RP-6-6,48.616283,-120.402945,1241,5.3,16.5,-5.3,21.8,654,133,23.5,123.9,606,1401,4644,49,179,148,272,124,276,-32.5,36.4,14.8,659,420,63,9.94,619
RP-7-5,48.620175,-120.413667,1402,4.9,15.9,-5.4,21.3,714,146,20.9,108.5,632,1288,4795,37,175,150,271,121,314,-32.9,35.5,15.5,628,374,64,19.89,541
RP-7-6,48.620417,-120.413754,1418,4.9,15.8,-5.4,21.2,722,148,20.6,106.8,635,1277,4810,35,175,150,271,121,318,-32.9,35.4,15.5,624,369,64,21.12,534
RP-8-1,48.597275,-120.519379,892,5.6,16.7,-5.1,21.9,571,107,27.2,155.5,580,1437,4567,54,173,156,270,115,237,-32,37.2,11.9,699,493,60,-1.67,644
RP-8-2,48.597325,-120.519601,891,5.6,16.7,-5.1,21.9,571,107,27.3,155.6,580,1437,4568,54,173,156,270,115,237,-32,37.2,11.9,699,493,60,-1.76,644
RP-9-5,48.507712,-120.733813,1506,2.7,12.8,-6.2,18.9,1390,250,9.1,50.9,812,814,5567,8,143,170,264,94,801,-33.6,31.9,13.5,513,187,66,101.98,246
RP-9-6,48.507858,-120.734086,1515,2.7,12.7,-6.2,18.9,1392,251,9.1,50.7,813,810,5573,8,143,170,264,94,803,-33.6,31.9,13.5,511,185,66,102.36,243
